Date Of Death Year,Date Of Death Month,Sex,Race/Ethnicity,AgeGroup,AllCause,NaturalCause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",AnalysisDate,Start Date,End Date
2020,7,2,3,2,12,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,02/23/2021,07/01/2020,07/31/2020
2019,6,1,6,6,164,92.0,4.0,14.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,34.0,4.0,0.0,0.0,02/23/2021,06/01/2019,06/30/2019
2020,9,2,2,5,82,50.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,02/23/2021,09/01/2020,09/30/2020
2020,10,2,4,8,6472,3368.0,72.0,910.0,176.0,59.0,48.0,114.0,45.0,113.0,32.0,751.0,160.0,332.0,292.0,02/23/2021,10/01/2020,10/31/2020
2019,12,1,2,2,8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
2020,9,1,4,2,52,28.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,09/01/2020,09/30/2020
2020,8,2,2,9,351,182.0,4.0,34.0,15.0,12.0,4.0,4.0,4.0,4.0,4.0,27.0,4.0,27.0,26.0,02/23/2021,08/01/2020,08/31/2020
2020,1,1,5,8,39067,21561.0,315.0,6493.0,908.0,245.0,467.0,1720.0,438.0,376.0,174.0,5531.0,831.0,4.0,4.0,02/23/2021,01/01/2020,01/31/2020
2019,11,1,3,3,19,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,02/23/2021,11/01/2019,11/30/2019
2020,12,1,5,8,60209,28447.0,335.0,6121.0,984.0,260.0,321.0,1425.0,355.0,363.0,515.0,5669.0,872.0,7551.0,6991.0,02/23/2021,12/01/2020,12/31/2020
2019,11,2,4,6,1626,937.0,16.0,257.0,55.0,4.0,16.0,23.0,12.0,39.0,4.0,200.0,63.0,0.0,0.0,02/23/2021,11/01/2019,11/30/2019
2019,12,2,1,9,3211,1812.0,23.0,378.0,116.0,134.0,44.0,73.0,45.0,53.0,12.0,385.0,136.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
2020,9,1,6,2,12,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,02/23/2021,09/01/2020,09/30/2020
2019,3,1,2,2,12,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02/23/2021,03/01/2019,03/31/2019
2020,1,2,3,5,73,36.0,0.0,17.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,02/23/2021,01/01/2020,01/31/2020
2019,10,2,5,1,382,316.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,38.0,4.0,0.0,0.0,0.0,02/23/2021,10/01/2019,10/31/2019
2019,10,1,4,6,1937,1092.0,21.0,209.0,67.0,0.0,13.0,24.0,14.0,37.0,24.0,374.0,62.0,0.0,0.0,02/23/2021,10/01/2019,10/31/2019
2020,2,1,5,7,21471,12048.0,183.0,3477.0,550.0,36.0,292.0,747.0,146.0,182.0,110.0,3288.0,404.0,4.0,4.0,02/23/2021,02/01/2020,02/29/2020
2019,9,1,1,5,520,329.0,4.0,62.0,14.0,0.0,4.0,4.0,4.0,4.0,11.0,67.0,17.0,0.0,0.0,02/23/2021,09/01/2019,09/30/2019
2020,9,2,4,7,4462,2352.0,55.0,651.0,112.0,4.0,31.0,96.0,36.0,68.0,41.0,476.0,112.0,224.0,204.0,02/23/2021,09/01/2020,09/30/2020
2020,3,2,5,1,352,287.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,41.0,4.0,4.0,0.0,0.0,02/23/2021,03/01/2020,03/31/2020
2020,8,1,3,2,8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,02/23/2021,08/01/2020,08/31/2020
2019,8,2,4,2,44,24.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,08/01/2019,08/31/2019
2019,10,1,5,1,456,373.0,4.0,13.0,0.0,0.0,4.0,4.0,4.0,0.0,46.0,4.0,4.0,0.0,0.0,02/23/2021,10/01/2019,10/31/2019
2020,7,2,2,7,368,187.0,4.0,31.0,10.0,0.0,4.0,12.0,4.0,4.0,4.0,20.0,4.0,43.0,41.0,02/23/2021,07/01/2020,07/31/2020
2020,6,2,2,1,8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,02/23/2021,06/01/2020,06/30/2020
2020,2,2,2,9,240,139.0,4.0,27.0,11.0,4.0,4.0,13.0,4.0,4.0,4.0,22.0,4.0,0.0,0.0,02/23/2021,02/01/2020,02/29/2020
2021,1,1,2,8,612,252.0,4.0,26.0,16.0,0.0,4.0,10.0,4.0,4.0,14.0,25.0,0.0,132.0,121.0,02/23/2021,01/01/2021,01/31/2021
2019,3,2,6,5,66,34.0,4.0,12.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,02/23/2021,03/01/2019,03/31/2019
2019,2,2,3,8,753,415.0,4.0,149.0,27.0,4.0,14.0,4.0,10.0,11.0,4.0,76.0,35.0,0.0,0.0,02/23/2021,02/01/2019,02/28/2019
2020,8,2,6,9,347,176.0,4.0,27.0,4.0,10.0,4.0,4.0,0.0,4.0,4.0,44.0,19.0,24.0,23.0,02/23/2021,08/01/2020,08/31/2020
2019,4,1,2,2,8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,02/23/2021,04/01/2019,04/30/2019
2019,9,1,6,4,42,18.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,02/23/2021,09/01/2019,09/30/2019
2019,8,1,4,3,107,66.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,4.0,13.0,4.0,0.0,0.0,02/23/2021,08/01/2019,08/31/2019
2019,10,1,3,1,58,30.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,10/01/2019,10/31/2019
2020,5,1,1,2,55,31.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,02/23/2021,05/01/2020,05/31/2020
2019,7,2,4,7,3687,2052.0,43.0,672.0,117.0,4.0,29.0,85.0,40.0,53.0,12.0,477.0,103.0,0.0,0.0,02/23/2021,07/01/2019,07/31/2019
2019,5,2,6,4,23,11.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,02/23/2021,05/01/2019,05/31/2019
2019,10,2,3,8,794,444.0,4.0,194.0,17.0,4.0,4.0,4.0,4.0,15.0,4.0,64.0,36.0,0.0,0.0,02/23/2021,10/01/2019,10/31/2019
2019,7,1,2,4,33,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,02/23/2021,07/01/2019,07/31/2019
2019,6,1,6,4,42,18.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,06/01/2019,06/30/2019
2021,1,1,5,4,2272,1182.0,4.0,57.0,12.0,0.0,4.0,4.0,4.0,4.0,800.0,56.0,16.0,69.0,60.0,02/23/2021,01/01/2021,01/31/2021
2019,1,1,4,1,305,241.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,40.0,4.0,0.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
2020,9,1,1,9,4348,2171.0,27.0,401.0,111.0,74.0,32.0,63.0,37.0,40.0,12.0,439.0,125.0,425.0,391.0,02/23/2021,09/01/2020,09/30/2020
2019,7,1,2,10,119,60.0,4.0,11.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,16.0,4.0,0.0,0.0,02/23/2021,07/01/2019,07/31/2019
2019,5,1,2,1,8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,02/23/2021,05/01/2019,05/31/2019
2019,1,2,3,4,48,22.0,0.0,10.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
2019,6,2,1,3,100,56.0,0.0,12.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,06/01/2019,06/30/2019
2020,4,1,2,9,343,164.0,4.0,31.0,4.0,4.0,4.0,11.0,4.0,4.0,4.0,35.0,12.0,33.0,29.0,02/23/2021,04/01/2020,04/30/2020
2019,8,1,4,4,325,204.0,4.0,20.0,17.0,0.0,4.0,4.0,4.0,4.0,16.0,44.0,4.0,0.0,0.0,02/23/2021,08/01/2019,08/31/2019
2021,1,1,3,8,2984,1239.0,4.0,181.0,56.0,4.0,25.0,14.0,11.0,4.0,15.0,189.0,32.0,618.0,592.0,02/23/2021,01/01/2021,01/31/2021
2020,10,1,5,4,1265,743.0,10.0,81.0,19.0,0.0,4.0,4.0,4.0,4.0,211.0,124.0,13.0,27.0,21.0,02/23/2021,10/01/2020,10/31/2020
2019,2,1,5,2,102,60.0,4.0,14.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,02/01/2019,02/28/2019
2020,9,2,2,1,8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,02/23/2021,09/01/2020,09/30/2020
2019,2,1,6,4,37,21.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,02/23/2021,02/01/2019,02/28/2019
2020,10,1,6,4,68,33.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,4.0,4.0,02/23/2021,10/01/2020,10/31/2020
2020,1,1,3,9,1480,819.0,11.0,216.0,47.0,20.0,32.0,37.0,28.0,17.0,4.0,179.0,70.0,0.0,0.0,02/23/2021,01/01/2020,01/31/2020
2019,7,1,5,5,2001,1240.0,21.0,218.0,49.0,0.0,15.0,13.0,13.0,14.0,38.0,354.0,26.0,0.0,0.0,02/23/2021,07/01/2019,07/31/2019
2020,1,1,1,4,313,204.0,0.0,31.0,4.0,0.0,17.0,4.0,4.0,4.0,4.0,37.0,4.0,0.0,0.0,02/23/2021,01/01/2020,01/31/2020
2020,10,2,4,5,979,547.0,14.0,94.0,21.0,0.0,4.0,10.0,4.0,12.0,34.0,118.0,29.0,49.0,43.0,02/23/2021,10/01/2020,10/31/2020
2019,2,1,2,7,296,164.0,4.0,43.0,17.0,0.0,4.0,4.0,4.0,4.0,4.0,44.0,4.0,0.0,0.0,02/23/2021,02/01/2019,02/28/2019
2019,1,1,1,6,1492,889.0,12.0,187.0,70.0,4.0,39.0,11.0,10.0,24.0,13.0,180.0,53.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
2019,8,1,5,6,6316,3694.0,63.0,936.0,175.0,4.0,34.0,82.0,33.0,49.0,60.0,1065.0,121.0,0.0,0.0,02/23/2021,08/01/2019,08/31/2019
2020,5,1,2,8,421,196.0,4.0,40.0,14.0,4.0,4.0,4.0,4.0,4.0,4.0,43.0,4.0,50.0,46.0,02/23/2021,05/01/2020,05/31/2020
2020,2,2,4,5,670,408.0,4.0,97.0,16.0,0.0,20.0,4.0,4.0,4.0,12.0,74.0,27.0,0.0,0.0,02/23/2021,02/01/2020,02/29/2020
2020,5,2,1,2,50,22.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,05/01/2020,05/31/2020
2020,9,2,4,10,6764,3680.0,70.0,371.0,112.0,378.0,45.0,76.0,42.0,98.0,44.0,877.0,329.0,346.0,296.0,02/23/2021,09/01/2020,09/30/2020
2019,7,2,3,1,40,32.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,02/23/2021,07/01/2019,07/31/2019
2020,6,1,6,5,61,29.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,02/23/2021,06/01/2020,06/30/2020
2019,9,1,6,7,320,181.0,4.0,50.0,12.0,0.0,4.0,4.0,4.0,4.0,4.0,49.0,4.0,0.0,0.0,02/23/2021,09/01/2019,09/30/2019
2019,3,2,2,2,8,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02/23/2021,03/01/2019,03/31/2019
2019,6,1,2,5,59,35.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,06/01/2019,06/30/2019
2020,8,1,2,6,222,115.0,4.0,10.0,12.0,0.0,4.0,4.0,4.0,4.0,4.0,16.0,4.0,21.0,20.0,02/23/2021,08/01/2020,08/31/2020
2020,8,1,4,3,188,103.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,24.0,13.0,4.0,13.0,11.0,02/23/2021,08/01/2020,08/31/2020
