Date Of Death Year,Date Of Death Month,Sex,Race/Ethnicity,AgeGroup,AllCause,NaturalCause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",AnalysisDate,Start Date,End Date
2019,8,2,5,6,4430,2546.0,35.0,966.0,96.0,4.0,32.0,114.0,30.0,19.0,43.0,457.0,88.0,0.0,0.0,02/23/2021,08/01/2019,08/31/2019
2020,2,2,4,10,5926,3414.0,54.0,317.0,122.0,368.0,93.0,114.0,35.0,86.0,36.0,952.0,335.0,0.0,0.0,02/23/2021,02/01/2020,02/29/2020
2021,1,2,6,2,8,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02/23/2021,01/01/2021,01/31/2021
2019,10,1,2,1,16,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,02/23/2021,10/01/2019,10/31/2019
2021,1,2,2,5,94,43.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,17.0,14.0,02/23/2021,01/01/2021,01/31/2021
2019,3,2,4,9,5480,3077.0,69.0,660.0,155.0,154.0,56.0,128.0,35.0,117.0,29.0,739.0,261.0,0.0,0.0,02/23/2021,03/01/2019,03/31/2019
2019,1,1,5,3,277,183.0,4.0,32.0,11.0,0.0,4.0,0.0,4.0,4.0,12.0,19.0,4.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
2019,1,1,5,4,718,463.0,12.0,61.0,18.0,0.0,11.0,4.0,4.0,4.0,22.0,104.0,15.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
2019,4,2,4,1,302,245.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,29.0,4.0,4.0,0.0,0.0,02/23/2021,04/01/2019,04/30/2019
2019,12,2,5,3,195,126.0,4.0,26.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,11.0,4.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
2020,9,1,3,6,375,193.0,4.0,55.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,52.0,10.0,20.0,17.0,02/23/2021,09/01/2020,09/30/2020
2019,2,1,1,2,53,29.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,02/23/2021,02/01/2019,02/28/2019
2020,4,1,6,9,984,423.0,4.0,32.0,13.0,10.0,4.0,23.0,4.0,4.0,4.0,79.0,14.0,191.0,179.0,02/23/2021,04/01/2020,04/30/2020
2019,9,1,4,8,5836,3197.0,69.0,952.0,177.0,19.0,37.0,129.0,48.0,112.0,34.0,853.0,209.0,0.0,0.0,02/23/2021,09/01/2019,09/30/2019
2020,2,1,4,1,342,270.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,44.0,4.0,4.0,0.0,0.0,02/23/2021,02/01/2020,02/29/2020
2019,7,2,1,8,2221,1271.0,23.0,424.0,87.0,22.0,12.0,35.0,20.0,34.0,4.0,230.0,59.0,0.0,0.0,02/23/2021,07/01/2019,07/31/2019
2019,12,2,5,1,364,296.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,30.0,10.0,4.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
2019,4,1,4,1,342,275.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,35.0,4.0,4.0,0.0,0.0,02/23/2021,04/01/2019,04/30/2019
2019,5,1,6,1,54,46.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,02/23/2021,05/01/2019,05/31/2019
2020,8,2,5,4,755,456.0,4.0,98.0,26.0,0.0,4.0,4.0,4.0,4.0,50.0,55.0,10.0,21.0,19.0,02/23/2021,08/01/2020,08/31/2020
2020,4,2,3,1,30,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,02/23/2021,04/01/2020,04/30/2020
2020,11,1,6,4,85,43.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,14.0,4.0,0.0,4.0,4.0,02/23/2021,11/01/2020,11/30/2020
2020,11,1,6,1,72,50.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,4.0,0.0,0.0,02/23/2021,11/01/2020,11/30/2020
2019,5,2,1,8,2311,1302.0,31.0,412.0,92.0,27.0,20.0,43.0,28.0,36.0,10.0,229.0,81.0,0.0,0.0,02/23/2021,05/01/2019,05/31/2019
2019,7,2,5,4,556,367.0,10.0,72.0,4.0,0.0,4.0,4.0,4.0,4.0,21.0,56.0,10.0,0.0,0.0,02/23/2021,07/01/2019,07/31/2019
2020,4,1,5,9,58100,29090.0,329.0,5573.0,813.0,1020.0,610.0,1835.0,475.0,455.0,178.0,6353.0,1225.0,5206.0,4938.0,02/23/2021,04/01/2020,04/30/2020
2019,8,2,2,5,65,41.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,08/01/2019,08/31/2019
2020,1,2,5,8,29417,16346.0,296.0,5189.0,551.0,360.0,409.0,1710.0,381.0,308.0,124.0,3001.0,734.0,4.0,4.0,02/23/2021,01/01/2020,01/31/2020
2020,4,2,4,3,141,78.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,14.0,13.0,02/23/2021,04/01/2020,04/30/2020
2019,4,2,5,4,603,374.0,11.0,92.0,15.0,4.0,12.0,10.0,4.0,4.0,14.0,51.0,12.0,0.0,0.0,02/23/2021,04/01/2019,04/30/2019
2020,9,2,3,1,26,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,02/23/2021,09/01/2020,09/30/2020
2019,10,1,3,9,1353,752.0,4.0,206.0,35.0,28.0,12.0,32.0,15.0,20.0,4.0,186.0,59.0,0.0,0.0,02/23/2021,10/01/2019,10/31/2019
2021,1,2,4,8,7710,3558.0,57.0,637.0,157.0,52.0,47.0,100.0,53.0,89.0,75.0,615.0,172.0,1080.0,1018.0,02/23/2021,01/01/2021,01/31/2021
2020,7,2,2,8,406,189.0,4.0,31.0,25.0,4.0,4.0,10.0,4.0,4.0,4.0,20.0,4.0,53.0,50.0,02/23/2021,07/01/2020,07/31/2020
2019,3,2,3,5,87,47.0,0.0,24.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,02/23/2021,03/01/2019,03/31/2019
2020,3,1,3,10,1923,1042.0,13.0,124.0,38.0,61.0,61.0,47.0,14.0,26.0,23.0,287.0,83.0,52.0,52.0,02/23/2021,03/01/2020,03/31/2020
2019,9,1,1,4,296,180.0,4.0,46.0,4.0,0.0,4.0,4.0,4.0,4.0,18.0,24.0,4.0,0.0,0.0,02/23/2021,09/01/2019,09/30/2019
2019,6,1,4,4,363,228.0,4.0,17.0,12.0,0.0,4.0,12.0,4.0,4.0,16.0,58.0,4.0,0.0,0.0,02/23/2021,06/01/2019,06/30/2019
2019,12,2,3,2,12,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
2020,6,1,3,7,815,412.0,4.0,122.0,29.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,23.0,52.0,50.0,02/23/2021,06/01/2020,06/30/2020
2020,11,1,4,3,161,92.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,37.0,4.0,4.0,4.0,4.0,02/23/2021,11/01/2020,11/30/2020
2021,1,2,1,2,35,19.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,02/23/2021,01/01/2021,01/31/2021
2020,6,1,4,8,7832,3995.0,91.0,916.0,182.0,28.0,73.0,147.0,45.0,96.0,42.0,1021.0,239.0,506.0,451.0,02/23/2021,06/01/2020,06/30/2020
2019,4,2,3,6,254,134.0,0.0,92.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,04/01/2019,04/30/2019
2020,11,1,3,10,1806,939.0,11.0,104.0,36.0,68.0,23.0,41.0,4.0,18.0,15.0,242.0,72.0,122.0,111.0,02/23/2021,11/01/2020,11/30/2020
2020,5,2,3,6,307,146.0,4.0,75.0,4.0,0.0,4.0,4.0,0.0,0.0,4.0,12.0,12.0,21.0,21.0,02/23/2021,05/01/2020,05/31/2020
2019,12,1,6,10,255,142.0,4.0,30.0,4.0,12.0,4.0,4.0,4.0,4.0,4.0,39.0,4.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
2020,3,1,5,1,457,381.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,34.0,10.0,4.0,4.0,4.0,02/23/2021,03/01/2020,03/31/2020
2019,4,1,3,5,135,71.0,4.0,17.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0,19.0,4.0,0.0,0.0,02/23/2021,04/01/2019,04/30/2019
2020,9,1,2,3,16,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,02/23/2021,09/01/2020,09/30/2020
2019,3,2,1,4,144,95.0,0.0,29.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,02/23/2021,03/01/2019,03/31/2019
2020,3,2,2,10,240,138.0,0.0,14.0,4.0,4.0,11.0,12.0,4.0,4.0,4.0,27.0,14.0,4.0,0.0,02/23/2021,03/01/2020,03/31/2020
2019,2,2,5,5,1431,855.0,15.0,270.0,44.0,0.0,33.0,14.0,14.0,4.0,27.0,128.0,27.0,0.0,0.0,02/23/2021,02/01/2019,02/28/2019
2020,7,1,4,4,644,351.0,4.0,29.0,18.0,0.0,4.0,4.0,4.0,4.0,36.0,74.0,11.0,56.0,49.0,02/23/2021,07/01/2020,07/31/2020
2020,12,1,6,1,54,46.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,02/23/2021,12/01/2020,12/31/2020
2019,5,2,4,4,276,171.0,4.0,29.0,13.0,0.0,4.0,4.0,4.0,4.0,4.0,35.0,4.0,0.0,0.0,02/23/2021,05/01/2019,05/31/2019
2020,11,2,5,9,51717,26085.0,300.0,4770.0,643.0,1639.0,308.0,1701.0,360.0,383.0,263.0,4557.0,1357.0,4960.0,4391.0,02/23/2021,11/01/2020,11/30/2020
2020,3,1,6,4,39,11.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,02/23/2021,03/01/2020,03/31/2020
2020,8,1,6,2,12,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,02/23/2021,08/01/2020,08/31/2020
2019,12,2,6,2,16,4.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
2020,3,2,6,2,12,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02/23/2021,03/01/2020,03/31/2020
2019,10,2,3,4,47,23.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,10/01/2019,10/31/2019
2020,3,2,4,5,846,489.0,11.0,98.0,23.0,0.0,18.0,4.0,4.0,10.0,4.0,95.0,27.0,32.0,31.0,02/23/2021,03/01/2020,03/31/2020
2019,2,1,3,4,56,36.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,02/23/2021,02/01/2019,02/28/2019
2020,6,2,5,9,38572,20978.0,297.0,4796.0,537.0,1423.0,267.0,1553.0,372.0,345.0,171.0,4147.0,1340.0,1273.0,1073.0,02/23/2021,06/01/2020,06/30/2020
2020,5,1,1,10,4092,2022.0,16.0,250.0,70.0,118.0,37.0,88.0,30.0,42.0,12.0,464.0,129.0,420.0,394.0,02/23/2021,05/01/2020,05/31/2020
2019,12,2,5,4,581,386.0,4.0,77.0,10.0,0.0,4.0,4.0,4.0,4.0,22.0,54.0,12.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
2020,5,1,3,8,1830,833.0,10.0,207.0,42.0,4.0,11.0,20.0,11.0,11.0,4.0,139.0,31.0,254.0,253.0,02/23/2021,05/01/2020,05/31/2020
2019,9,1,2,2,8,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02/23/2021,09/01/2019,09/30/2019
2019,10,1,3,7,673,367.0,4.0,140.0,23.0,4.0,4.0,4.0,4.0,4.0,4.0,91.0,24.0,0.0,0.0,02/23/2021,10/01/2019,10/31/2019
2020,1,1,6,7,384,216.0,4.0,46.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,76.0,14.0,0.0,0.0,02/23/2021,01/01/2020,01/31/2020
2020,12,1,3,1,34,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,02/23/2021,12/01/2020,12/31/2020
2019,10,2,2,6,108,64.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,12.0,4.0,0.0,0.0,02/23/2021,10/01/2019,10/31/2019
2020,12,2,1,5,946,444.0,4.0,97.0,12.0,4.0,4.0,4.0,4.0,4.0,39.0,24.0,16.0,150.0,140.0,02/23/2021,12/01/2020,12/31/2020
2019,1,2,6,6,136,75.0,0.0,20.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,17.0,4.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
2020,10,1,3,10,1591,864.0,10.0,110.0,20.0,56.0,32.0,30.0,4.0,15.0,18.0,227.0,73.0,67.0,65.0,02/23/2021,10/01/2020,10/31/2020
2021,1,1,2,4,100,56.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,4.0,4.0,4.0,02/23/2021,01/01/2021,01/31/2021
2020,6,2,4,4,414,246.0,4.0,33.0,11.0,0.0,4.0,4.0,4.0,4.0,19.0,48.0,4.0,18.0,15.0,02/23/2021,06/01/2020,06/30/2020
2020,10,1,2,5,130,80.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,12.0,10.0,02/23/2021,10/01/2020,10/31/2020
2020,3,1,2,8,339,181.0,4.0,45.0,17.0,0.0,4.0,10.0,4.0,4.0,4.0,47.0,11.0,4.0,4.0,02/23/2021,03/01/2020,03/31/2020
2019,2,2,1,9,3058,1728.0,27.0,362.0,103.0,123.0,46.0,83.0,49.0,47.0,4.0,356.0,130.0,0.0,0.0,02/23/2021,02/01/2019,02/28/2019
2019,10,2,5,6,4475,2584.0,40.0,937.0,94.0,4.0,38.0,114.0,40.0,32.0,50.0,449.0,93.0,0.0,0.0,02/23/2021,10/01/2019,10/31/2019
2019,12,1,6,5,70,34.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
2019,5,2,2,2,8,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02/23/2021,05/01/2019,05/31/2019
2019,7,2,6,5,35,19.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,02/23/2021,07/01/2019,07/31/2019
2020,5,2,2,4,48,28.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,02/23/2021,05/01/2020,05/31/2020
2019,2,1,1,1,242,193.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,17.0,4.0,4.0,0.0,0.0,02/23/2021,02/01/2019,02/28/2019
2019,1,1,6,9,314,172.0,4.0,45.0,4.0,4.0,4.0,14.0,4.0,4.0,4.0,51.0,4.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
2019,11,2,1,5,384,231.0,4.0,87.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,28.0,10.0,0.0,0.0,02/23/2021,11/01/2019,11/30/2019
2019,7,1,2,1,20,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,02/23/2021,07/01/2019,07/31/2019
2019,6,2,5,9,35557,20025.0,292.0,4713.0,543.0,1276.0,284.0,1885.0,341.0,396.0,204.0,4323.0,1275.0,0.0,0.0,02/23/2021,06/01/2019,06/30/2019
2019,7,1,4,9,4598,2530.0,56.0,606.0,130.0,79.0,47.0,115.0,35.0,103.0,23.0,687.0,187.0,0.0,0.0,02/23/2021,07/01/2019,07/31/2019
2020,7,1,5,10,44406,23787.0,236.0,3453.0,476.0,1546.0,394.0,1079.0,316.0,462.0,287.0,6912.0,1363.0,2175.0,1920.0,02/23/2021,07/01/2020,07/31/2020
2019,1,2,2,5,70,38.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
2020,12,1,6,2,16,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,02/23/2021,12/01/2020,12/31/2020
2019,1,2,2,3,8,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
2019,1,1,2,7,260,150.0,4.0,33.0,12.0,0.0,4.0,4.0,4.0,4.0,4.0,37.0,4.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
2019,4,2,2,4,21,13.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,02/23/2021,04/01/2019,04/30/2019
2019,10,1,6,10,178,102.0,4.0,12.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,28.0,4.0,0.0,0.0,02/23/2021,10/01/2019,10/31/2019
2019,5,1,6,2,16,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,02/23/2021,05/01/2019,05/31/2019
2020,11,2,6,3,20,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,02/23/2021,11/01/2020,11/30/2020
2019,6,2,1,4,156,95.0,0.0,33.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,06/01/2019,06/30/2019
2020,6,2,5,8,26635,14426.0,277.0,4893.0,503.0,306.0,163.0,1110.0,244.0,258.0,116.0,2569.0,632.0,612.0,526.0,02/23/2021,06/01/2020,06/30/2020
2019,9,1,1,6,1243,740.0,15.0,173.0,45.0,0.0,4.0,4.0,11.0,12.0,11.0,190.0,38.0,0.0,0.0,02/23/2021,09/01/2019,09/30/2019
2020,10,1,1,1,220,183.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,17.0,4.0,4.0,0.0,0.0,02/23/2021,10/01/2020,10/31/2020
2021,1,1,3,10,3083,1375.0,4.0,107.0,49.0,71.0,21.0,40.0,13.0,27.0,24.0,239.0,63.0,535.0,515.0,02/23/2021,01/01/2021,01/31/2021
2019,6,2,6,9,242,137.0,4.0,34.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,30.0,13.0,0.0,0.0,02/23/2021,06/01/2019,06/30/2019
2019,6,1,6,9,303,165.0,4.0,37.0,11.0,4.0,4.0,11.0,4.0,4.0,0.0,49.0,10.0,0.0,0.0,02/23/2021,06/01/2019,06/30/2019
2019,5,1,4,7,5058,2805.0,47.0,794.0,140.0,4.0,32.0,102.0,27.0,83.0,31.0,850.0,143.0,0.0,0.0,02/23/2021,05/01/2019,05/31/2019
2019,2,2,1,2,60,32.0,4.0,12.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,02/23/2021,02/01/2019,02/28/2019
2019,7,2,1,3,76,47.0,0.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,07/01/2019,07/31/2019
2019,8,1,1,1,269,223.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,22.0,4.0,4.0,0.0,0.0,02/23/2021,08/01/2019,08/31/2019
2020,12,1,1,6,4934,2110.0,14.0,190.0,84.0,0.0,16.0,15.0,19.0,22.0,170.0,222.0,59.0,1029.0,984.0,02/23/2021,12/01/2020,12/31/2020
2020,12,1,2,5,165,77.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,16.0,11.0,0.0,21.0,20.0,02/23/2021,12/01/2020,12/31/2020
2020,2,1,1,3,116,73.0,0.0,15.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,02/01/2020,02/29/2020
2019,7,1,3,4,37,22.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02/23/2021,07/01/2019,07/31/2019
2019,8,1,1,4,283,172.0,4.0,29.0,10.0,0.0,4.0,4.0,4.0,4.0,10.0,38.0,4.0,0.0,0.0,02/23/2021,08/01/2019,08/31/2019
2021,1,1,5,5,3901,2081.0,12.0,190.0,52.0,0.0,17.0,10.0,11.0,16.0,946.0,211.0,27.0,173.0,155.0,02/23/2021,01/01/2021,01/31/2021
2019,11,2,4,10,5918,3435.0,55.0,387.0,97.0,372.0,51.0,87.0,40.0,110.0,41.0,928.0,315.0,0.0,0.0,02/23/2021,11/01/2019,11/30/2019
2020,3,1,5,10,45914,25699.0,299.0,3596.0,529.0,1662.0,884.0,1398.0,443.0,574.0,315.0,7893.0,1536.0,556.0,530.0,02/23/2021,03/01/2020,03/31/2020
2020,10,2,3,9,1449,772.0,4.0,178.0,41.0,36.0,17.0,19.0,4.0,24.0,10.0,152.0,79.0,60.0,53.0,02/23/2021,10/01/2020,10/31/2020
2020,8,2,5,3,234,139.0,4.0,31.0,4.0,0.0,0.0,4.0,4.0,4.0,11.0,21.0,4.0,4.0,4.0,02/23/2021,08/01/2020,08/31/2020
2019,6,1,5,7,20089,11296.0,122.0,3616.0,463.0,39.0,113.0,558.0,161.0,148.0,127.0,3100.0,346.0,0.0,0.0,02/23/2021,06/01/2019,06/30/2019
2019,8,2,2,9,189,117.0,4.0,23.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,21.0,4.0,0.0,0.0,02/23/2021,08/01/2019,08/31/2019
2020,5,2,2,6,160,88.0,4.0,12.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,10.0,4.0,17.0,13.0,02/23/2021,05/01/2020,05/31/2020
2019,2,1,3,9,1463,806.0,12.0,185.0,40.0,20.0,17.0,45.0,23.0,24.0,4.0,221.0,66.0,0.0,0.0,02/23/2021,02/01/2019,02/28/2019
2020,6,2,6,1,52,32.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,02/23/2021,06/01/2020,06/30/2020
2021,1,2,6,8,469,221.0,4.0,65.0,12.0,4.0,4.0,11.0,4.0,4.0,4.0,34.0,4.0,51.0,47.0,02/23/2021,01/01/2021,01/31/2021
2020,2,1,6,2,12,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,02/23/2021,02/01/2020,02/29/2020
2019,1,2,5,1,343,286.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,29.0,4.0,4.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
2020,7,1,5,7,24361,13238.0,161.0,3669.0,545.0,37.0,139.0,603.0,138.0,144.0,198.0,3642.0,419.0,759.0,669.0,02/23/2021,07/01/2020,07/31/2020
2020,3,2,4,4,390,235.0,4.0,20.0,18.0,0.0,11.0,4.0,4.0,4.0,4.0,42.0,12.0,16.0,16.0,02/23/2021,03/01/2020,03/31/2020
2020,6,1,6,7,433,234.0,4.0,43.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,78.0,12.0,20.0,18.0,02/23/2021,06/01/2020,06/30/2020
2021,1,2,2,8,547,214.0,0.0,24.0,13.0,4.0,4.0,4.0,4.0,4.0,4.0,15.0,4.0,129.0,124.0,02/23/2021,01/01/2021,01/31/2021
2019,3,2,2,1,12,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02/23/2021,03/01/2019,03/31/2019
2020,1,1,4,6,2236,1274.0,24.0,210.0,96.0,4.0,40.0,23.0,4.0,45.0,17.0,430.0,69.0,0.0,0.0,02/23/2021,01/01/2020,01/31/2020
2020,3,1,6,5,72,40.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,02/23/2021,03/01/2020,03/31/2020
2020,12,1,3,9,3218,1431.0,13.0,223.0,78.0,38.0,23.0,40.0,11.0,20.0,10.0,221.0,86.0,525.0,499.0,02/23/2021,12/01/2020,12/31/2020
2019,7,1,6,4,23,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,02/23/2021,07/01/2019,07/31/2019
2020,5,1,1,6,3134,1441.0,14.0,160.0,57.0,4.0,13.0,11.0,15.0,16.0,24.0,260.0,42.0,550.0,527.0,02/23/2021,05/01/2020,05/31/2020
2019,12,1,2,5,77,47.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,10.0,0.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
2019,12,2,4,9,5808,3261.0,83.0,646.0,168.0,175.0,68.0,130.0,49.0,131.0,24.0,810.0,263.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
2019,6,2,4,3,112,70.0,4.0,10.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,02/23/2021,06/01/2019,06/30/2019
2020,1,2,5,7,15568,8717.0,164.0,3165.0,311.0,59.0,245.0,734.0,141.0,119.0,85.0,1508.0,320.0,0.0,0.0,02/23/2021,01/01/2020,01/31/2020
2019,3,2,6,6,132,69.0,4.0,22.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,13.0,4.0,0.0,0.0,02/23/2021,03/01/2019,03/31/2019
2019,8,1,2,8,266,142.0,4.0,43.0,11.0,4.0,0.0,4.0,4.0,4.0,4.0,34.0,12.0,0.0,0.0,02/23/2021,08/01/2019,08/31/2019
2019,11,1,6,4,22,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,02/23/2021,11/01/2019,11/30/2019
2019,5,1,6,7,346,196.0,4.0,48.0,4.0,0.0,4.0,14.0,4.0,4.0,4.0,60.0,4.0,0.0,0.0,02/23/2021,05/01/2019,05/31/2019
2019,12,1,2,3,8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
